"","date","new_file_name","species","time","mange_signs_present","clear_photo","not_coyote","season","year","site"
"26",2010-11-03,"S09-KTP1-FA10(6).JPG","Coyote","22:19:48",0,1,NA,"Fall ",2010,"KTP"
"27",2010-11-03,"S09-KTP1-FA10(7).JPG","Coyote","22:18:54",0,1,NA,"Fall ",2010,"KTP"
"28",2010-10-21,"S09-KTP1-FA10(8).JPG","Coyote","20:09:44",0,1,NA,"Fall ",2010,"KTP"
"29",2010-10-21,"S09-KTP1-FA10(9).JPG","Coyote","20:09:16",NA,0,NA,"Fall ",2010,"KTP"
"30",2010-10-28,"S09-ILC1-FA10(1).JPG","Coyote","21:28:01",0,1,NA,"Fall ",2010,"ILC"
"31",2010-11-07,"S08-WGL2-FA10(1).JPG","Coyote","19:48:25",NA,0,NA,"Fall ",2010,"WGL"
"32",2010-11-07,"S08-WGL2-FA10(2).JPG","Coyote","19:47:47",NA,0,NA,"Fall ",2010,"WGL"
"33",2010-10-30,"S08-WGL2-FA10(3).JPG","Coyote","17:38:19",NA,0,NA,"Fall ",2010,"WGL"
"34",2010-11-03,"S08-WGL1-FA10(1).JPG","Coyote","22:19:13",0,1,NA,"Fall ",2010,"WGL"
"35",2010-11-03,"S08-WGL1-FA10(2).JPG","Coyote","22:16:53",0,1,NA,"Fall ",2010,"WGL"
"36",2010-10-21,"S08-WGL1-FA10(3).JPG","Coyote","21:52:33",NA,0,NA,"Fall ",2010,"WGL"
"37",2010-10-21,"S08-WGL1-FA10(4).JPG","Coyote","21:50:54",NA,0,NA,"Fall ",2010,"WGL"
"38",2010-10-23,"S07-WGL2-FA10(1).JPG","Coyote","19:04:51",0,1,NA,"Fall ",2010,"WGL"
"39",2010-10-23,"S07-WGL2-FA10(2).JPG","Coyote","19:04:20",NA,0,NA,"Fall ",2010,"WGL"
"40",2010-11-13,"S07-WGL2-FA10(3).JPG","Coyote","21:26:10",NA,0,NA,"Fall ",2010,"WGL"
"41",2010-11-02,"S07-WGL2-FA10(4).JPG","Coyote","0:06:24",NA,0,NA,"Fall ",2010,"WGL"
"42",2010-11-15,"S07-SAG1-FA10(1).JPG","Coyote","2:53:35",NA,0,NA,"Fall ",2010,"SAG"
"43",2010-11-15,"S07-SAG1-FA10(2).JPG","Coyote","2:51:56",1,1,NA,"Fall ",2010,"SAG"
"44",2010-11-15,"S07-SAG1-FA10(3).JPG","Coyote","2:51:21",1,1,NA,"Fall ",2010,"SAG"
"45",2010-11-04,"S07-SAG1-FA10(4).JPG","Coyote","2:57:14",NA,0,NA,"Fall ",2010,"SAG"
"46",2010-11-04,"S07-SAG1-FA10(5).JPG","Coyote","2:56:01",0,1,NA,"Fall ",2010,"SAG"
"47",2010-11-04,"S07-SAG1-FA10(6).JPG","Coyote","2:54:51",NA,0,NA,"Fall ",2010,"SAG"
"48",2010-11-02,"S07-SAG1-FA10(7).JPG","Coyote","5:26:34",NA,0,NA,"Fall ",2010,"SAG"
"49",2010-11-03,"S06-CBW1-FA10(1).JPG","Coyote","23:57:18",NA,0,NA,"Fall ",2010,"CBW"
"50",2010-11-03,"S06-CBW1-FA10(2).JPG","Coyote","23:56:48",NA,0,NA,"Fall ",2010,"CBW"
"51",2010-10-22,"S06-CBW1-FA10(3).JPG","Coyote","4:41:24",0,1,NA,"Fall ",2010,"CBW"
"52",2010-10-22,"S06-CBW1-FA10(4).JPG","Coyote","4:40:23",0,1,NA,"Fall ",2010,"CBW"
"53",2010-10-22,"S06-CBW1-FA10(5).JPG","Coyote","4:39:55",NA,0,NA,"Fall ",2010,"CBW"
"54",2010-11-14,"S05-SFP1-FA10(1).JPG","Coyote","21:49:35",0,1,NA,"Fall ",2010,"SFP"
"55",2010-11-14,"S05-SFP1-FA10(2).JPG","Coyote","21:49:03",NA,0,NA,"Fall ",2010,"SFP"
"56",2010-11-14,"S05-SFP1-FA10(3).JPG","Coyote","7:41:42",0,1,NA,"Fall ",2010,"SFP"
"57",2010-11-14,"S05-SFP1-FA10(4).JPG","Coyote","1:19:11",NA,1,NA,"Fall ",2010,"SFP"
"58",2010-11-14,"S05-SFP1-FA10(5).JPG","Coyote","1:18:29",NA,0,NA,"Fall ",2010,"SFP"
"59",2010-11-09,"S05-SFP1-FA10(6).JPG","Coyote","20:36:43",NA,0,NA,"Fall ",2010,"SFP"
"60",2010-11-04,"S05-SFP1-FA10(7).JPG","Coyote","22:00:21",NA,0,NA,"Fall ",2010,"SFP"
"61",2010-11-04,"S05-SFP1-FA10(8).JPG","Coyote","21:59:53",0,1,NA,"Fall ",2010,"SFP"
"62",2010-11-04,"S05-SFP1-FA10(9).JPG","Coyote","21:27:23",NA,0,NA,"Fall ",2010,"SFP"
"63",2010-11-04,"S05-SFP1-FA10(10).JPG","Coyote","21:26:50",NA,1,NA,"Fall ",2010,"SFP"
"64",2010-10-25,"S05-SFP1-FA10(11).JPG","Coyote","5:56:12",0,1,NA,"Fall ",2010,"SFP"
"65",2010-10-25,"S05-SFP1-FA10(12).JPG","Coyote","5:55:43",NA,0,NA,"Fall ",2010,"SFP"
"66",2010-10-21,"S05-SFP1-FA10(13).JPG","Coyote","19:16:28",0,1,NA,"Fall ",2010,"SFP"
"67",2010-10-21,"S05-SFP1-FA10(14).JPG","Coyote","19:16:00",NA,0,NA,"Fall ",2010,"SFP"
"68",2010-10-21,"S05-SFP1-FA10(15).JPG","Coyote","19:15:20",NA,0,NA,"Fall ",2010,"SFP"
"69",2010-10-21,"S05-SFP1-FA10(16).JPG","Coyote","19:12:24",0,1,NA,"Fall ",2010,"SFP"
"70",2010-10-21,"S05-SFP1-FA10(17).JPG","Coyote","19:11:51",0,1,NA,"Fall ",2010,"SFP"
"71",2010-11-12,"S05-LNC1-FA10(1).JPG","Coyote","22:12:38",1,1,NA,"Fall ",2010,"LNC"
"72",2010-11-12,"S05-LNC1-FA10(2).JPG","Coyote","9:38:04",NA,0,NA,"Fall ",2010,"LNC"
"73",2010-11-12,"S05-LNC1-FA10(3).JPG","Coyote","9:37:36",NA,0,NA,"Fall ",2010,"LNC"
"74",2010-11-12,"S05-LNC1-FA10(4).JPG","Coyote","9:37:01",1,1,NA,"Fall ",2010,"LNC"
"75",2010-11-12,"S05-LNC1-FA10(5).JPG","Coyote","9:36:22",0,1,NA,"Fall ",2010,"LNC"
"76",2010-11-12,"S05-LNC1-FA10(6).JPG","Coyote","9:35:52",NA,0,NA,"Fall ",2010,"LNC"
"77",2010-11-08,"S05-LNC1-FA10(7).JPG","Coyote","20:05:52",0,1,NA,"Fall ",2010,"LNC"
"78",2010-11-08,"S05-LNC1-FA10(8).JPG","Coyote","20:05:15",0,1,NA,"Fall ",2010,"LNC"
"79",2010-11-07,"S05-LNC1-FA10(9).JPG","Coyote","4:06:00",NA,0,NA,"Fall ",2010,"LNC"
"80",2010-11-05,"S05-LNC1-FA10(10).JPG","Coyote","21:53:30",NA,0,NA,"Fall ",2010,"LNC"
"81",2010-11-05,"S05-LNC1-FA10(11).JPG","Coyote","9:12:06",0,1,NA,"Fall ",2010,"LNC"
"82",2010-11-03,"S05-LNC1-FA10(12).JPG","Coyote","13:04:11",NA,0,NA,"Fall ",2010,"LNC"
"83",2010-11-03,"S05-LNC1-FA10(13).JPG","Coyote","12:22:46",NA,0,NA,"Fall ",2010,"LNC"
"84",2010-11-03,"S05-LNC1-FA10(14).JPG","Coyote","12:21:30",0,1,NA,"Fall ",2010,"LNC"
"85",2010-11-03,"S05-LNC1-FA10(15).JPG","Coyote","10:48:01",0,1,NA,"Fall ",2010,"LNC"
"86",2010-11-03,"S05-LNC1-FA10(16).JPG","Coyote","10:47:33",0,1,NA,"Fall ",2010,"LNC"
"87",2010-11-03,"S05-LNC1-FA10(17).JPG","Coyote","10:46:44",0,1,NA,"Fall ",2010,"LNC"
"88",2010-11-03,"S05-LNC1-FA10(18).JPG","Coyote","10:46:16",0,1,NA,"Fall ",2010,"LNC"
"89",2010-11-03,"S05-LNC1-FA10(19).JPG","Coyote","10:45:46",0,1,NA,"Fall ",2010,"LNC"
"90",2010-11-03,"S05-LNC1-FA10(20).JPG","Coyote","10:45:18",NA,0,NA,"Fall ",2010,"LNC"
"91",2010-11-03,"S05-LNC1-FA10(21).JPG","Coyote","10:44:49",0,1,NA,"Fall ",2010,"LNC"
"92",2010-11-03,"S05-LNC1-FA10(22).JPG","Coyote","4:42:53",0,1,NA,"Fall ",2010,"LNC"
"93",2010-11-03,"S05-LNC1-FA10(23).JPG","Coyote","4:42:22",NA,0,NA,"Fall ",2010,"LNC"
"94",2010-10-31,"S05-LNC1-FA10(24).JPG","Coyote","21:15:14",0,1,NA,"Fall ",2010,"LNC"
"95",2010-10-31,"S05-LNC1-FA10(25).JPG","Coyote","21:14:43",NA,0,NA,"Fall ",2010,"LNC"
"96",2010-10-28,"S05-LNC1-FA10(26).JPG","Coyote","22:58:43",NA,0,NA,"Fall ",2010,"LNC"
"97",2010-10-27,"S05-LNC1-FA10(27).JPG","Coyote","20:18:32",NA,0,NA,"Fall ",2010,"LNC"
"98",2010-10-27,"S05-LNC1-FA10(28).JPG","Coyote","20:18:04",0,1,NA,"Fall ",2010,"LNC"
"99",2010-10-27,"S05-LNC1-FA10(29).JPG","Coyote","20:16:53",0,1,NA,"Fall ",2010,"LNC"
"100",2010-10-23,"S05-LNC1-FA10(30).JPG","Coyote","18:53:42",NA,0,NA,"Fall ",2010,"LNC"
"101",2010-10-23,"S05-LNC1-FA10(31).JPG","Coyote","18:53:13",NA,0,NA,"Fall ",2010,"LNC"
"102",2010-10-23,"S05-LNC1-FA10(32).JPG","Coyote","18:52:16",0,1,NA,"Fall ",2010,"LNC"
"103",2010-10-22,"S05-LNC1-FA10(33).JPG","Coyote","6:36:40",NA,0,NA,"Fall ",2010,"LNC"
"104",2010-10-22,"S05-LNC1-FA10(34).JPG","Coyote","6:35:14",0,1,NA,"Fall ",2010,"LNC"
"105",2010-10-21,"S05-LNC1-FA10(35).JPG","Coyote","2:03:11",0,1,NA,"Fall ",2010,"LNC"
"106",2010-10-20,"S05-LNC1-FA10(36).JPG","Coyote","21:16:02",0,1,NA,"Fall ",2010,"LNC"
"107",2010-10-20,"S05-LNC1-FA10(37).JPG","Coyote","21:14:59",0,1,NA,"Fall ",2010,"LNC"
"108",2010-10-20,"S05-LNC1-FA10(38).JPG","Coyote","21:14:28",0,1,NA,"Fall ",2010,"LNC"
"109",2010-10-20,"S05-LNC1-FA10(39).JPG","Coyote","21:14:00",0,1,NA,"Fall ",2010,"LNC"
"110",2010-10-20,"S05-LNC1-FA10(40).JPG","Coyote","21:13:31",0,1,NA,"Fall ",2010,"LNC"
"111",2010-10-20,"S05-LNC1-FA10(41).JPG","Coyote","15:32:24",0,1,NA,"Fall ",2010,"LNC"
"112",2010-10-20,"S05-LNC1-FA10(42).JPG","Coyote","15:31:54",NA,0,NA,"Fall ",2010,"LNC"
"113",2010-10-20,"S05-LNC1-FA10(43).JPG","Coyote","15:29:46",0,1,NA,"Fall ",2010,"LNC"
"114",2010-10-20,"S05-LNC1-FA10(44).JPG","Coyote","15:28:53",NA,0,NA,"Fall ",2010,"LNC"
"115",2010-10-20,"S05-LNC1-FA10(45).JPG","Coyote","15:28:23",0,1,NA,"Fall ",2010,"LNC"
"116",2010-10-20,"S05-LNC1-FA10(46).JPG","Coyote","11:30:49",NA,0,NA,"Fall ",2010,"LNC"
"117",2010-10-20,"S05-LNC1-FA10(47).JPG","Coyote","11:30:14",1,1,NA,"Fall ",2010,"LNC"
"118",2010-10-20,"S05-LNC1-FA10(48).JPG","Coyote","11:29:38",1,1,NA,"Fall ",2010,"LNC"
"119",2010-11-06,"S03-WAP1-FA10(1).JPG","Coyote","0:03:05",NA,0,NA,"Fall ",2010,"WAP"
"120",2010-11-15,"D07-BEC1-FA10(1).JPG","Coyote","3:19:19",NA,0,NA,"Fall ",2010,"BEC"
"121",2010-11-13,"D07-BEC1-FA10(2).JPG","Coyote","4:36:06",NA,0,NA,"Fall ",2010,"BEC"
"122",2010-11-05,"D07-BEC1-FA10(3).JPG","Coyote","6:13:25",0,1,NA,"Fall ",2010,"BEC"
"123",2010-11-05,"D07-BEC1-FA10(4).JPG","Coyote","6:10:12",NA,1,NA,"Fall ",2010,"BEC"
"124",2010-10-22,"D07-BEC1-FA10(5).JPG","Coyote","2:56:29",NA,1,NA,"Fall ",2010,"BEC"
"125",2010-10-22,"D07-BEC1-FA10(6).JPG","Coyote","2:55:54",NA,0,NA,"Fall ",2010,"BEC"
"126",2010-11-03,"D06-KCG1-FA10(1).JPG","Coyote","8:42:09",0,1,NA,"Fall ",2010,"KCG"
"127",2010-11-03,"D06-KCG1-FA10(2).JPG","Coyote","8:41:40",NA,0,NA,"Fall ",2010,"KCG"
"128",2010-11-03,"D06-KCG1-FA10(3).JPG","Coyote","8:36:56",NA,0,NA,"Fall ",2010,"KCG"
"129",2010-11-03,"D06-KCG1-FA10(4).JPG","Coyote","8:36:27",0,1,NA,"Fall ",2010,"KCG"
"130",2010-11-03,"D06-KCG1-FA10(5).JPG","Coyote","8:35:02",NA,0,NA,"Fall ",2010,"KCG"
"131",2010-11-03,"D06-KCG1-FA10(6).JPG","Coyote","8:33:36",NA,0,NA,"Fall ",2010,"KCG"
"132",2010-11-03,"D06-KCG1-FA10(7).JPG","Coyote","8:33:08",NA,0,NA,"Fall ",2010,"KCG"
"133",2010-11-03,"D06-KCG1-FA10(8).JPG","Coyote","8:31:14",0,1,NA,"Fall ",2010,"KCG"
"134",2010-11-03,"D06-KCG1-FA10(9).JPG","Coyote","8:30:46",0,1,NA,"Fall ",2010,"KCG"
"135",2010-11-03,"D06-KCG1-FA10(10).JPG","Coyote","8:30:17",NA,0,NA,"Fall ",2010,"KCG"
"136",2010-11-03,"D06-KCG1-FA10(11).JPG","Coyote","8:29:49",0,1,NA,"Fall ",2010,"KCG"
"137",2010-11-03,"D06-KCG1-FA10(12).JPG","Coyote","8:29:20",0,1,NA,"Fall ",2010,"KCG"
"138",2010-11-03,"D06-KCG1-FA10(13).JPG","Coyote","8:28:52",NA,1,NA,"Fall ",2010,"KCG"
"139",2010-11-03,"D06-KCG1-FA10(14).JPG","Coyote","8:28:23",NA,0,NA,"Fall ",2010,"KCG"
"140",2010-11-10,"D05-MHC1-FA10(1).JPG","Coyote","17:50:32",NA,0,NA,"Fall ",2010,"MHC"
"141",2010-11-08,"D05-MHC1-FA10(2).JPG","Coyote","7:45:16",NA,1,NA,"Fall ",2010,"MHC"
"142",2010-11-03,"D05-MHC1-FA10(3).JPG","Coyote","22:59:54",NA,0,NA,"Fall ",2010,"MHC"
"143",2010-11-03,"D05-MHC1-FA10(4).JPG","Coyote","18:45:49",NA,0,NA,"Fall ",2010,"MHC"
"144",2010-11-03,"D05-MHC1-FA10(5).JPG","Coyote","18:45:00",NA,0,NA,"Fall ",2010,"MHC"
"145",2010-11-03,"D05-MHC1-FA10(6).JPG","Coyote","18:42:04",0,0,NA,"Fall ",2010,"MHC"
"146",2010-11-03,"D05-MHC1-FA10(7).JPG","Coyote","18:41:36",0,0,NA,"Fall ",2010,"MHC"
"147",2010-11-03,"D05-MHC1-FA10(8).JPG","Coyote","18:39:34",NA,0,NA,"Fall ",2010,"MHC"
"148",2010-11-03,"D05-MHC1-FA10(9).JPG","Coyote","16:58:45",NA,1,NA,"Fall ",2010,"MHC"
"149",2010-11-05,"D02-RCP1-FA10(1).JPG","Coyote","0:28:27",NA,1,NA,"Fall ",2010,"RCP"
"150",2010-10-24,"D02-RCP1-FA10(2).JPG","Coyote","21:17:29",NA,0,NA,"Fall ",2010,"RCP"
"151",2010-10-17,"D02-RCP1-FA10(3).JPG","Coyote","1:09:57",NA,1,NA,"Fall ",2010,"RCP"
"152",2010-10-14,"D02-RCP1-FA10(4).JPG","Coyote","23:46:49",NA,0,NA,"Fall ",2010,"RCP"
"153",2010-10-14,"D02-RCP1-FA10(5).JPG","Coyote","23:46:19",NA,0,NA,"Fall ",2010,"RCP"
"154",2010-10-14,"D02-RCP1-FA10(6).JPG","Coyote","3:14:14",NA,0,NA,"Fall ",2010,"RCP"
"155",2010-10-14,"D02-RCP1-FA10(7).JPG","Coyote","3:13:44",0,1,NA,"Fall ",2010,"RCP"
"156",2010-10-14,"D02-RCP1-FA10(8).JPG","Coyote","3:13:12",NA,0,NA,"Fall ",2010,"RCP"
"157",2010-10-13,"D02-RCP1-FA10(9).JPG","Coyote","22:49:33",0,1,NA,"Fall ",2010,"RCP"
"158",2010-10-13,"D02-RCP1-FA10(10).JPG","Coyote","22:48:06",0,1,NA,"Fall ",2010,"RCP"
"159",2010-10-13,"D02-RCP1-FA10(11).JPG","Coyote","22:47:35",NA,0,NA,"Fall ",2010,"RCP"
"160",2010-10-13,"D02-RCP1-FA10(12).JPG","Coyote","22:47:07",NA,0,NA,"Fall ",2010,"RCP"
"161",2010-10-13,"D02-RCP1-FA10(13).JPG","Coyote","22:46:10",NA,0,NA,"Fall ",2010,"RCP"
"162",2010-11-03,"S10-LPP2-FA11(1).JPG","Coyote","4:07:37",NA,0,NA,"Fall ",2011,"LPP"
"163",2010-11-03,"S10-LPP2-FA11(2).JPG","Coyote","3:45:34",NA,1,NA,"Fall ",2011,"LPP"
"164",2011-10-08,"S09-VTW1-FA11(1).JPG","Coyote","1:19:58",NA,1,NA,"Fall ",2011,"VTW"
"165",2011-10-08,"S09-VTW1-FA11(2).JPG","Coyote","1:19:29",NA,1,NA,"Fall ",2011,"VTW"
"166",2011-10-20,"S09-VTW1-FA11(3).JPG","Coyote","3:14:38",NA,1,NA,"Fall ",2011,"VTW"
"167",2011-10-27,"S09-KTP1-FA11(1).JPG","Coyote","13:38:28",NA,1,NA,"Fall ",2011,"KTP"
"168",2011-11-06,"S07-STJ1-FA11(1).JPG","Coyote","6:30:55",NA,0,NA,"Fall ",2011,"STJ"
"169",2011-10-29,"S07-STJ1-FA11(2).JPG","Coyote","23:53:43",NA,1,NA,"Fall ",2011,"STJ"
"170",2011-10-29,"S07-STJ1-FA11(3).JPG","Coyote","23:50:58",NA,1,NA,"Fall ",2011,"STJ"
"171",2011-11-04,"S07-SAG1-FA11(1).JPG","Coyote","18:58:25",NA,0,NA,"Fall ",2011,"SAG"
"172",2011-10-15,"S07-SAG1-FA11(2).JPG","Coyote","17:47:40",NA,1,NA,"Fall ",2011,"SAG"
"173",2011-10-09,"S07-SAG1-FA11(3).JPG","Coyote","20:34:53",NA,0,NA,"Fall ",2011,"SAG"
"174",2011-10-09,"S07-SAG1-FA11(4).JPG","Coyote","20:34:11",NA,0,NA,"Fall ",2011,"SAG"
"175",2011-10-09,"S07-SAG1-FA11(5).JPG","Coyote","20:33:39",NA,0,NA,"Fall ",2011,"SAG"
"176",2011-10-06,"S07-SAG1-FA11(6).JPG","Coyote","4:46:18",NA,0,NA,"Fall ",2011,"SAG"
"177",2011-10-25,"S06-CBW1-FA11(1).JPG","Coyote","4:10:35",NA,0,NA,"Fall ",2011,"CBW"
"178",2011-10-21,"S06-CBW1-FA11(2).JPG","Coyote","1:33:33",NA,1,NA,"Fall ",2011,"CBW"
"179",2011-10-21,"S06-CBW1-FA11(3).JPG","Coyote","1:32:53",NA,1,NA,"Fall ",2011,"CBW"
"180",2011-10-18,"S06-CBW1-FA11(4).JPG","Coyote","19:31:49",NA,0,NA,"Fall ",2011,"CBW"
"181",2011-10-29,"S05-SFP1-FA11(1).JPG","Coyote","23:58:03",NA,1,NA,"Fall ",2011,"SFP"
"182",2011-10-29,"S05-SFP1-FA11(2).JPG","Coyote","23:55:49",NA,0,NA,"Fall ",2011,"SFP"
"183",2011-10-27,"S05-SFP1-FA11(3).JPG","Coyote","20:54:05",NA,0,NA,"Fall ",2011,"SFP"
"184",2011-10-27,"S05-SFP1-FA11(4).JPG","Coyote","18:18:09",NA,0,NA,"Fall ",2011,"SFP"
"185",2011-10-27,"S05-SFP1-FA11(5).JPG","Coyote","6:33:09",NA,0,NA,"Fall ",2011,"SFP"
"186",2011-10-27,"S05-SFP1-FA11(6).JPG","Coyote","6:32:00",NA,0,NA,"Fall ",2011,"SFP"
"187",2011-10-27,"S05-SFP1-FA11(7).JPG","Coyote","6:31:22",NA,0,NA,"Fall ",2011,"SFP"
"188",2011-10-27,"S05-SFP1-FA11(8).JPG","Coyote","6:30:53",NA,0,NA,"Fall ",2011,"SFP"
"189",2011-10-12,"S05-RES1-FA11(1).JPG","Coyote","20:06:55",NA,0,NA,"Fall ",2011,"RES"
"190",2011-10-12,"S05-RES1-FA11(2).JPG","Coyote","8:01:12",NA,0,NA,"Fall ",2011,"RES"
"191",2011-10-10,"S05-RES1-FA11(3).JPG","Coyote","19:52:11",NA,0,NA,"Fall ",2011,"RES"
"192",2011-10-10,"S05-RES1-FA11(4).JPG","Coyote","19:51:38",NA,1,NA,"Fall ",2011,"RES"
"193",2011-11-04,"S05-RES1-FA11(5).JPG","Coyote","17:38:50",NA,0,NA,"Fall ",2011,"RES"
"194",2011-10-24,"S05-RES1-FA11(6).JPG","Coyote","17:49:07",NA,0,NA,"Fall ",2011,"RES"
"195",2011-10-03,"S05-RES1-FA11(7).JPG","Coyote","22:50:50",NA,0,NA,"Fall ",2011,"RES"
"196",2011-10-03,"S05-RES1-FA11(8).JPG","Coyote","19:30:07",NA,0,NA,"Fall ",2011,"RES"
"197",2011-10-03,"S05-RES1-FA11(9).JPG","Coyote","19:18:29",NA,1,NA,"Fall ",2011,"RES"
"198",2011-10-19,"S05-RES1-FA11(10).JPG","Coyote","4:01:23",NA,0,NA,"Fall ",2011,"RES"
"199",2011-10-18,"S05-RES1-FA11(11).JPG","Coyote","2:24:46",NA,0,NA,"Fall ",2011,"RES"
"200",2011-10-17,"S05-RES1-FA11(12).JPG","Coyote","5:48:49",NA,0,NA,"Fall ",2011,"RES"
"201",2011-10-12,"S04-SSP1-FA11(1).JPG","Coyote","4:45:15",1,1,NA,"Fall ",2011,"SSP"
"202",2011-10-12,"S04-SSP1-FA11(2).JPG","Coyote","4:38:57",1,1,NA,"Fall ",2011,"SSP"
"203",2011-10-25,"S04-OTW1-FA11(1).JPG","Coyote","16:14:38",NA,1,NA,"Fall ",2011,"OTW"
"204",2011-10-25,"S04-OTW1-FA11(2).JPG","Coyote","16:13:13",NA,1,NA,"Fall ",2011,"OTW"
"205",2011-10-25,"S04-OTW1-FA11(3).JPG","Coyote","16:12:34",NA,1,NA,"Fall ",2011,"OTW"
"206",2011-10-25,"S04-OTW1-FA11(4).JPG","Coyote","16:11:07",NA,1,NA,"Fall ",2011,"OTW"
"207",2011-10-25,"S04-OTW1-FA11(5).JPG","Coyote","16:10:37",NA,1,NA,"Fall ",2011,"OTW"
"208",2011-10-25,"S04-OTW1-FA11(6).JPG","Coyote","16:09:33",NA,1,NA,"Fall ",2011,"OTW"
"209",2011-10-25,"S04-OTW1-FA11(7).JPG","Coyote","16:09:05",NA,1,NA,"Fall ",2011,"OTW"
"210",2011-10-25,"S04-OTW1-FA11(8).JPG","Coyote","16:06:23",NA,1,NA,"Fall ",2011,"OTW"
"211",2011-10-25,"S04-OTW1-FA11(9).JPG","Coyote","16:05:46",NA,1,NA,"Fall ",2011,"OTW"
"212",2011-10-25,"S04-OTW1-FA11(10).JPG","Coyote","16:04:51",NA,1,NA,"Fall ",2011,"OTW"
"213",2011-10-25,"S04-OTW1-FA11(11).JPG","Coyote","16:04:17",NA,1,NA,"Fall ",2011,"OTW"
"214",2011-10-25,"S04-OTW1-FA11(12).JPG","Coyote","16:03:26",NA,1,NA,"Fall ",2011,"OTW"
"215",2011-10-25,"S04-OTW1-FA11(13).JPG","Coyote","16:02:44",NA,1,NA,"Fall ",2011,"OTW"
"216",2011-10-25,"S04-OTW1-FA11(14).JPG","Coyote","16:02:10",NA,1,NA,"Fall ",2011,"OTW"
"217",2011-10-25,"S04-OTW1-FA11(15).JPG","Coyote","16:01:18",NA,1,NA,"Fall ",2011,"OTW"
"218",2011-10-25,"S04-OTW1-FA11(16).JPG","Coyote","15:59:40",NA,1,NA,"Fall ",2011,"OTW"
"219",2011-10-25,"S04-OTW1-FA11(17).JPG","Coyote","15:57:43",NA,1,NA,"Fall ",2011,"OTW"
"220",2011-10-25,"S04-OTW1-FA11(18).JPG","Coyote","8:19:51",NA,0,NA,"Fall ",2011,"OTW"
"221",2011-10-11,"S04-OTW1-FA11(19).JPG","Coyote","22:57:22",NA,1,NA,"Fall ",2011,"OTW"
"222",2011-11-01,"S03-LPC1-FA11(1).JPG","Coyote","2:18:26",NA,1,NA,"Fall ",2011,"LPC"
