"","date","new_file_name","time","state","clear_photo","not_coyote","in_color","notes","season","year","site","SurveyID"
"63",2010-11-04,"S05-SFP1-FA10(10).JPG","21:26:50",0,1,NA,NA,"Hair on back half of body looks at lot shorter than front half. Without tail hard to tell if winter coat is just coming in in a weird way","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"64",2010-10-25,"S05-SFP1-FA10(11).JPG","5:56:12",0,1,NA,NA,"A bit hazy","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"65",2010-10-25,"S05-SFP1-FA10(12).JPG","5:55:43",0,0,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"66",2010-10-21,"S05-SFP1-FA10(13).JPG","19:16:28",0,1,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"67",2010-10-21,"S05-SFP1-FA10(14).JPG","19:16:00",0,0,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"68",2010-10-21,"S05-SFP1-FA10(15).JPG","19:15:20",0,0,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"69",2010-10-21,"S05-SFP1-FA10(16).JPG","19:12:24",0,1,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"70",2010-10-21,"S05-SFP1-FA10(17).JPG","19:11:51",0,1,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"71",2010-11-12,"S05-LNC1-FA10(1).JPG","22:12:38",1,1,NA,1,"Lesions on face and back of hind leg, biting at front leg","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"72",2010-11-12,"S05-LNC1-FA10(2).JPG","9:38:04",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"73",2010-11-12,"S05-LNC1-FA10(3).JPG","9:37:36",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"74",2010-11-12,"S05-LNC1-FA10(4).JPG","9:37:01",1,1,NA,NA,"Lesions on face and hairless tip of tail","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"75",2010-11-12,"S05-LNC1-FA10(5).JPG","9:36:22",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"76",2010-11-12,"S05-LNC1-FA10(6).JPG","9:35:52",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"77",2010-11-08,"S05-LNC1-FA10(7).JPG","20:05:52",0,1,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"78",2010-11-08,"S05-LNC1-FA10(8).JPG","20:05:15",0,1,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"79",2010-11-07,"S05-LNC1-FA10(9).JPG","4:06:00",0,0,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"80",2010-11-05,"S05-LNC1-FA10(10).JPG","21:53:30",0,0,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"81",2010-11-05,"S05-LNC1-FA10(11).JPG","9:12:06",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"82",2010-11-03,"S05-LNC1-FA10(12).JPG","13:04:11",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"83",2010-11-03,"S05-LNC1-FA10(13).JPG","12:22:46",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"84",2010-11-03,"S05-LNC1-FA10(14).JPG","12:21:30",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"85",2010-11-03,"S05-LNC1-FA10(15).JPG","10:48:01",0,1,NA,NA,"Dark markings on front of forelegs","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"86",2010-11-03,"S05-LNC1-FA10(16).JPG","10:47:33",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"87",2010-11-03,"S05-LNC1-FA10(17).JPG","10:46:44",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"88",2010-11-03,"S05-LNC1-FA10(18).JPG","10:46:16",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"89",2010-11-03,"S05-LNC1-FA10(19).JPG","10:45:46",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"90",2010-11-03,"S05-LNC1-FA10(20).JPG","10:45:18",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"91",2010-11-03,"S05-LNC1-FA10(21).JPG","10:44:49",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"92",2010-11-03,"S05-LNC1-FA10(22).JPG","4:42:53",0,1,NA,1,"Head out of frame of rest of body well visible","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"93",2010-11-03,"S05-LNC1-FA10(23).JPG","4:42:22",0,0,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"94",2010-10-31,"S05-LNC1-FA10(24).JPG","21:15:14",0,1,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"95",2010-10-31,"S05-LNC1-FA10(25).JPG","21:14:43",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"96",2010-10-28,"S05-LNC1-FA10(26).JPG","22:58:43",0,0,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"97",2010-10-27,"S05-LNC1-FA10(27).JPG","20:18:32",0,0,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"98",2010-10-27,"S05-LNC1-FA10(28).JPG","20:18:04",0,1,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"99",2010-10-27,"S05-LNC1-FA10(29).JPG","20:16:53",0,1,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"100",2010-10-23,"S05-LNC1-FA10(30).JPG","18:53:42",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"101",2010-10-23,"S05-LNC1-FA10(31).JPG","18:53:13",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"102",2010-10-23,"S05-LNC1-FA10(32).JPG","18:52:16",0,1,NA,NA,"Dark muzzle","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"103",2010-10-22,"S05-LNC1-FA10(33).JPG","6:36:40",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"104",2010-10-22,"S05-LNC1-FA10(34).JPG","6:35:14",0,1,NA,NA,"Dark muzzle","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"105",2010-10-21,"S05-LNC1-FA10(35).JPG","2:03:11",0,1,NA,1,"All visible except face","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"106",2010-10-20,"S05-LNC1-FA10(36).JPG","21:16:02",0,1,NA,1,"Dark muzzle","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"107",2010-10-20,"S05-LNC1-FA10(37).JPG","21:14:59",0,1,NA,1,"Dark muzzle","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"108",2010-10-20,"S05-LNC1-FA10(38).JPG","21:14:28",0,1,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"109",2010-10-20,"S05-LNC1-FA10(39).JPG","21:14:00",0,1,NA,1,"Dark muzzle","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"110",2010-10-20,"S05-LNC1-FA10(40).JPG","21:13:31",0,1,NA,1,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"111",2010-10-20,"S05-LNC1-FA10(41).JPG","15:32:24",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"112",2010-10-20,"S05-LNC1-FA10(42).JPG","15:31:54",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"113",2010-10-20,"S05-LNC1-FA10(43).JPG","15:29:46",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"114",2010-10-20,"S05-LNC1-FA10(44).JPG","15:28:53",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"115",2010-10-20,"S05-LNC1-FA10(45).JPG","15:28:23",0,1,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"116",2010-10-20,"S05-LNC1-FA10(46).JPG","11:30:49",0,0,NA,NA,"","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"117",2010-10-20,"S05-LNC1-FA10(47).JPG","11:30:14",1,1,NA,NA,"Lesions and hair loss on hind leg and haunches. Pretty blurry otherwise","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"118",2010-10-20,"S05-LNC1-FA10(48).JPG","11:29:38",1,1,NA,NA,"Lesions and hair loss on hind legs and haunches. Looks like tip of tail is affected too","Fall ",2010,"S05-LNC1","S05-LNC1-FA10"
"119",2010-11-06,"S03-WAP1-FA10(1).JPG","0:03:05",0,0,NA,NA,"","Fall ",2010,"S03-WAP1","S03-WAP1-FA10"
"120",2010-11-15,"D07-BEC1-FA10(1).JPG","3:19:19",0,0,NA,NA,"","Fall ",2010,"D07-BEC0","D07-BEC0-FA10"
"121",2010-11-13,"D07-BEC1-FA10(2).JPG","4:36:06",0,0,NA,NA,"","Fall ",2010,"D07-BEC0","D07-BEC0-FA10"
"122",2010-11-05,"D07-BEC1-FA10(3).JPG","6:13:25",0,1,NA,NA,"","Fall ",2010,"D07-BEC0","D07-BEC0-FA10"
"123",2010-11-05,"D07-BEC1-FA10(4).JPG","6:10:12",0,1,NA,NA,"","Fall ",2010,"D07-BEC0","D07-BEC0-FA10"
"124",2010-10-22,"D07-BEC1-FA10(5).JPG","2:56:29",0,1,NA,NA,"","Fall ",2010,"D07-BEC0","D07-BEC0-FA10"
"125",2010-10-22,"D07-BEC1-FA10(6).JPG","2:55:54",0,0,NA,NA,"","Fall ",2010,"D07-BEC0","D07-BEC0-FA10"
"126",2010-11-03,"D06-KCG1-FA10(1).JPG","8:42:09",0,1,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"127",2010-11-03,"D06-KCG1-FA10(2).JPG","8:41:40",0,0,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"128",2010-11-03,"D06-KCG1-FA10(3).JPG","8:36:56",0,0,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"129",2010-11-03,"D06-KCG1-FA10(4).JPG","8:36:27",0,1,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"130",2010-11-03,"D06-KCG1-FA10(5).JPG","8:35:02",0,0,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"131",2010-11-03,"D06-KCG1-FA10(6).JPG","8:33:36",0,0,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"132",2010-11-03,"D06-KCG1-FA10(7).JPG","8:33:08",0,0,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"133",2010-11-03,"D06-KCG1-FA10(8).JPG","8:31:14",0,1,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"134",2010-11-03,"D06-KCG1-FA10(9).JPG","8:30:46",0,1,NA,NA,"Guard hairs on back of shoulders look weir","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"135",2010-11-03,"D06-KCG1-FA10(10).JPG","8:30:17",0,0,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"136",2010-11-03,"D06-KCG1-FA10(11).JPG","8:29:49",0,1,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"137",2010-11-03,"D06-KCG1-FA10(12).JPG","8:29:20",0,1,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"138",2010-11-03,"D06-KCG1-FA10(13).JPG","8:28:52",0,1,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"139",2010-11-03,"D06-KCG1-FA10(14).JPG","8:28:23",0,0,NA,NA,"","Fall ",2010,"D06-KCG1","D06-KCG1-FA10"
"140",2010-11-10,"D05-MHC1-FA10(1).JPG","17:50:32",0,0,NA,NA,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"141",2010-11-08,"D05-MHC1-FA10(2).JPG","7:45:16",0,1,NA,1,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"142",2010-11-03,"D05-MHC1-FA10(3).JPG","22:59:54",0,0,NA,NA,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"143",2010-11-03,"D05-MHC1-FA10(4).JPG","18:45:49",0,0,NA,NA,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"144",2010-11-03,"D05-MHC1-FA10(5).JPG","18:45:00",0,0,NA,NA,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"145",2010-11-03,"D05-MHC1-FA10(6).JPG","18:42:04",0,0,NA,NA,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"146",2010-11-03,"D05-MHC1-FA10(7).JPG","18:41:36",0,0,NA,NA,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"147",2010-11-03,"D05-MHC1-FA10(8).JPG","18:39:34",0,0,NA,NA,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"148",2010-11-03,"D05-MHC1-FA10(9).JPG","16:58:45",0,1,NA,1,"","Fall ",2010,"D05-MHC1","D05-MHC1-FA10"
"149",2010-11-05,"D02-RCP1-FA10(1).JPG","0:28:27",0,1,NA,NA,"Top of tail is missing guard hairs, back of hind legs is quite dark","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"150",2010-10-24,"D02-RCP1-FA10(2).JPG","21:17:29",0,0,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"151",2010-10-17,"D02-RCP1-FA10(3).JPG","1:09:57",0,1,NA,NA,"Top of tail is missing guard hairs, back of hind legs is quite dark","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"152",2010-10-14,"D02-RCP1-FA10(4).JPG","23:46:49",0,0,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"153",2010-10-14,"D02-RCP1-FA10(5).JPG","23:46:19",0,0,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"154",2010-10-14,"D02-RCP1-FA10(6).JPG","3:14:14",0,0,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"155",2010-10-14,"D02-RCP1-FA10(7).JPG","3:13:44",0,1,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"156",2010-10-14,"D02-RCP1-FA10(8).JPG","3:13:12",0,0,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"157",2010-10-13,"D02-RCP1-FA10(9).JPG","22:49:33",0,1,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"158",2010-10-13,"D02-RCP1-FA10(10).JPG","22:48:06",0,1,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"159",2010-10-13,"D02-RCP1-FA10(11).JPG","22:47:35",0,0,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"160",2010-10-13,"D02-RCP1-FA10(12).JPG","22:47:07",0,0,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"161",2010-10-13,"D02-RCP1-FA10(13).JPG","22:46:10",0,0,NA,NA,"","Fall ",2010,"D02-RCP1","D02-RCP1-FA10"
"162",2010-11-03,"S10-LPP2-FA11(1).JPG","4:07:37",0,0,NA,NA,"","Fall ",2011,"S10-LPP0","S10-LPP0-FA11"
"163",2010-11-03,"S10-LPP2-FA11(2).JPG","3:45:34",0,1,NA,NA,"","Fall ",2011,"S10-LPP0","S10-LPP0-FA11"
"164",2011-10-08,"S09-VTW1-FA11(1).JPG","1:19:58",0,1,NA,NA,"","Fall ",2011,"S09-VTW0","S09-VTW0-FA11"
"165",2011-10-08,"S09-VTW1-FA11(2).JPG","1:19:29",0,1,NA,NA,"","Fall ",2011,"S09-VTW0","S09-VTW0-FA11"
"166",2011-10-20,"S09-VTW1-FA11(3).JPG","3:14:38",0,1,NA,NA,"","Fall ",2011,"S09-VTW0","S09-VTW0-FA11"
"167",2011-10-27,"S09-KTP1-FA11(1).JPG","13:38:28",0,1,NA,1,"","Fall ",2011,"S09-KTP1","S09-KTP1-FA11"
"168",2011-11-06,"S07-STJ1-FA11(1).JPG","6:30:55",0,0,NA,NA,"","Fall ",2011,"S07-STJ1","S07-STJ1-FA11"
"169",2011-10-29,"S07-STJ1-FA11(2).JPG","23:53:43",0,1,NA,NA,"","Fall ",2011,"S07-STJ1","S07-STJ1-FA11"
"170",2011-10-29,"S07-STJ1-FA11(3).JPG","23:50:58",0,1,NA,NA,"","Fall ",2011,"S07-STJ1","S07-STJ1-FA11"
"171",2011-11-04,"S07-SAG1-FA11(1).JPG","18:58:25",0,0,NA,NA,"","Fall ",2011,"S07-SAG1","S07-SAG1-FA11"
"172",2011-10-15,"S07-SAG1-FA11(2).JPG","17:47:40",0,1,NA,1,"","Fall ",2011,"S07-SAG1","S07-SAG1-FA11"
"173",2011-10-09,"S07-SAG1-FA11(3).JPG","20:34:53",0,0,NA,NA,"","Fall ",2011,"S07-SAG1","S07-SAG1-FA11"
"174",2011-10-09,"S07-SAG1-FA11(4).JPG","20:34:11",0,0,NA,NA,"","Fall ",2011,"S07-SAG1","S07-SAG1-FA11"
"175",2011-10-09,"S07-SAG1-FA11(5).JPG","20:33:39",0,0,NA,NA,"","Fall ",2011,"S07-SAG1","S07-SAG1-FA11"
"176",2011-10-06,"S07-SAG1-FA11(6).JPG","4:46:18",0,0,NA,NA,"","Fall ",2011,"S07-SAG1","S07-SAG1-FA11"
